일순환량,사료종류,사료급이량,일평균폐사,백신접종여부,수온,전장(cm),체장(cm),어체중(g),Condition factor,심장질환,신장질환,비장질환,간장질환,복수,빈혈,궤양,안구질환,척추만곡,아가미부식,림포,탈장,기타,임상증상유무,Trichodina sp.,Scuticocilliates,ameoba,gyrodactylus,기생충유무,S. parauberis,L. garvieae,E. piscicida,P. damselae,V. ichthyoenteri,V. scophthalmi,세균감염유무,ALT,ALP,BUN,T P,CHOL,ALB,PHOS,Wgc1,Wgc2,Wgr1,Wgr2,Wgr6,Wgp2,Wgi3,Wbkr1,Wbkr2-1,Wbkr2-2,Wbkr5,Wbkr6,Wbki3-1,Wbki3-2,Whkr4,Whkr6,Whkr7,Whkp2,Whki2-1,Whki2-2,Wlc1,Wlr1,Wlp1,Wlr2-1,Wlr2-2,Wlr4,Wlr6,Wlr8,Wli3-1,Wli3-2,Wli6,Wsr5,Wsr6,Wsi2,Wsi3-1,Whr7,Whi3,Whi6-1,Whi6-2,Whi6-3,결과
20,1,0.077,2,0,13.97,33.7,28.9,407.6,1.689,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,63,3,5.5,241,1.8,8.1,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,36.4,31.2,560.9,1.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,75,4.8,4.6,110,1.9,6.9,0,0,8,0,0,0,0,0,4,4,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,31.7,27.2,320.8,1.594,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,8,69,2.5,4.9,277,1.5,10.2,2,0,0,0,0,8,4,4,4,0,0,0,4,0,0,0,0,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,35,30.9,434.7,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,160,3,5,768,1.5,8.8,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0.077,2,0,13.97,34.9,30.8,402.2,1.377,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,12,119,3.7,5.2,732,1.4,8.3,4,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,3
24,1,0.008,7,0,13.31,34.2,29.3,441.6,1.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,162,3.9,4.9,448,1.5,7.1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
24,1,0.008,7,0,13.31,39,34.1,709.2,1.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,152,2.5,6.5,1100,1.8,15.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1
24,1,0.008,7,0,13.31,36.4,31.7,533.5,1.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,91,2.9,4.3,267,1.5,14.1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,2
24,1,0.008,7,0,13.31,31.3,26.8,287.4,1.493,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,11,33,6,3.1,75,1.1,15.2,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,2
24,1,0.008,7,0,13.31,37.6,32.3,624.1,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,14,231,2.5,6.1,980,1.4,12.9,0,0,4,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,2
24,1,0.008,7,0,13.31,38,32.8,674,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,210,2.5,5.5,882,1.4,12.8,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0.008,7,0,13.31,38,33,618.7,1.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,196,3.6,5.6,1110,1.5,14,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0.008,7,0,13.31,37.5,32.1,668.3,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,173,2.9,5.5,1188,1.5,11.9,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,4,0,0,0,8,0,0,2
24,1,0.008,7,0,13.31,37.7,32.5,722.9,2.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,147,3.5,6,1114,1.6,22.1,0,0,0,0,0,0,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4,0,0,2
24,1,0.008,7,0,13.31,35.2,30.2,488.2,1.772,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,13,191,2.5,5.4,1152,1.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,2
24,1,0.008,7,0,13.31,38.1,33,679.2,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,9,206,2.2,5.4,864,1.5,12.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,2
24,1,0.008,7,0,13.31,36.6,31.7,578.1,1.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,131,6.2,6,736,1.5,21.1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,2
24,1,0.008,7,0,13.31,38.9,34,705.4,1.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,18,142,2.8,5.4,372,1.5,18.2,0,0,0,0,0,8,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2
8,1,0.0238,40,0,14.5,24.8,21.2,162.3,1.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,175,2.4,4.3,306,1.1,12,0,0,4,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
8,1,0.0238,40,0,14.5,23.2,19.7,116.2,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,117,2.5,4.2,316,1.2,15.5,4,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,4,0,0,0,8,0,4,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,0,2
8,1,0.0238,40,0,14.5,22.2,18.9,100.7,1.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,170,4.1,4.1,432,1,15,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,4,0,0,0,8,0,4,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,0,2
8,1,0.0238,40,0,14.5,26.3,22.2,207.4,1.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,254,1.7,4.8,279,1.3,12.4,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
