,수온,Condition factor,ALP,T P,Wgp2,Wgi3,Whkp2,Whki2-1,Wlr1,Wlr2-1,Wsi2,결과
119,17.38,2.046,91.0,2.5,0.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0
120,19.3,1.553,118.0,5.3,0.0,0.0,8.0,12.0,8.0,4.0,8.0,2.0
121,19.3,1.888,174.0,4.3,0.0,0.0,0.0,4.0,8.0,4.0,8.0,1.0
122,19.3,2.148,168.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,19.3,1.52,101.0,3.8,0.0,0.0,0.0,8.0,8.0,0.0,8.0,1.0
124,19.3,1.575,116.0,4.1,0.0,0.0,8.0,4.0,4.0,0.0,4.0,1.0
125,19.3,1.446,277.0,3.7,0.0,0.0,4.0,4.0,8.0,4.0,4.0,1.0
126,19.3,1.963,94.0,4.4,0.0,0.0,0.0,4.0,4.0,8.0,8.0,1.0
127,19.3,1.501,43.0,4.8,0.0,0.0,12.0,8.0,12.0,0.0,12.0,2.0
128,19.3,1.526,104.0,4.5,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0
129,19.3,1.69,171.0,3.6,0.0,0.0,4.0,0.0,8.0,4.0,8.0,2.0
130,19.3,1.56,84.0,5.2,0.0,0.0,8.0,0.0,4.0,0.0,4.0,1.0
131,19.3,1.597,53.0,4.0,0.0,0.0,8.0,8.0,8.0,0.0,12.0,2.0
132,19.3,1.475,139.0,4.5,0.0,0.0,0.0,4.0,8.0,8.0,4.0,1.0
133,19.3,1.64,114.0,4.8,0.0,0.0,8.0,8.0,8.0,0.0,8.0,2.0
134,19.3,1.378,85.0,4.5,0.0,0.0,4.0,8.0,8.0,0.0,8.0,2.0
135,18.38,1.604,98.0,4.9,0.0,0.0,0.0,12.0,0.0,8.0,8.0,2.0
136,18.38,2.001,106.0,5.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0
137,18.38,1.524,126.0,5.6,0.0,8.0,0.0,8.0,0.0,8.0,4.0,2.0
138,18.38,1.75,117.0,4.7,0.0,4.0,4.0,0.0,0.0,8.0,4.0,1.0
139,18.38,1.61,107.0,4.8,8.0,0.0,8.0,4.0,0.0,0.0,8.0,2.0
140,18.38,1.667,60.0,5.4,0.0,4.0,8.0,8.0,0.0,8.0,8.0,2.0
141,18.38,1.348,81.0,3.3,0.0,4.0,8.0,0.0,8.0,8.0,8.0,2.0
142,18.38,1.721,99.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
143,18.38,1.877,96.0,7.2,0.0,8.0,8.0,0.0,0.0,4.0,4.0,1.0
144,18.38,1.788,114.0,5.5,0.0,4.0,8.0,4.0,4.0,4.0,8.0,1.0
145,18.38,1.587,67.0,5.2,0.0,8.0,12.0,0.0,0.0,4.0,8.0,2.0
146,18.38,1.637,90.0,5.1,4.0,4.0,4.0,0.0,0.0,8.0,4.0,1.0
147,18.38,1.741,153.0,4.9,0.0,0.0,8.0,0.0,0.0,8.0,0.0,1.0
148,18.38,1.33,142.0,4.0,0.0,0.0,8.0,4.0,4.0,8.0,4.0,2.0
149,18.38,1.564,117.0,5.2,8.0,8.0,4.0,8.0,0.0,4.0,0.0,2.0
150,18.84,2.199,55.0,4.4,0.0,0.0,12.0,0.0,8.0,0.0,8.0,2.0
151,18.84,2.427,73.0,5.9,0.0,0.0,8.0,0.0,4.0,0.0,4.0,1.0
152,18.84,2.098,48.0,2.8,0.0,0.0,12.0,0.0,12.0,0.0,12.0,2.0
153,18.84,2.136,124.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
154,18.84,2.31,129.0,6.1,8.0,4.0,8.0,0.0,0.0,8.0,8.0,2.0
155,18.84,1.975,164.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
156,18.84,1.986,108.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
157,18.84,2.279,116.0,6.9,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
158,18.84,1.925,139.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
159,18.84,2.078,133.0,5.6,0.0,4.0,0.0,4.0,0.0,4.0,4.0,1.0
160,18.84,2.118,66.0,6.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0
161,18.84,2.153,165.0,6.1,0.0,4.0,4.0,0.0,0.0,8.0,8.0,2.0
162,18.84,2.305,108.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,1.0
163,18.84,1.958,142.0,6.1,0.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0
164,18.84,2.03,57.0,4.8,0.0,0.0,12.0,0.0,12.0,8.0,8.0,2.0
165,21.97,2.05,159.0,5.7,0.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0
166,21.97,1.958,187.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
167,21.97,2.109,156.0,5.2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
168,21.97,1.861,205.0,4.5,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0
169,21.97,1.845,229.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,21.97,2.23,183.0,5.3,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
171,21.97,2.251,351.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,21.97,2.297,220.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,21.97,2.205,169.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
174,21.97,1.895,200.0,5.4,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
175,21.97,1.963,276.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0
176,21.97,1.764,414.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,21.97,1.904,313.0,5.4,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0
178,21.97,2.047,200.0,5.0,0.0,4.0,4.0,4.0,0.0,4.0,8.0,1.0
179,21.97,1.133,168.0,4.0,0.0,4.0,8.0,0.0,4.0,4.0,0.0,1.0
180,19.92,5.918,114.0,4.6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
181,19.92,1.71,65.0,4.0,0.0,0.0,8.0,0.0,4.0,8.0,4.0,1.0
182,19.92,1.767,386.0,4.7,0.0,0.0,0.0,4.0,4.0,8.0,0.0,1.0
183,19.92,2.749,107.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,19.92,3.792,77.0,4.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
185,19.92,2.542,83.0,3.8,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
186,19.92,2.0,151.0,4.6,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0
187,19.92,1.902,110.0,5.7,0.0,0.0,8.0,0.0,8.0,12.0,12.0,2.0
188,19.92,1.83,82.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
189,19.92,2.62,102.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
190,19.92,2.098,124.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,19.92,1.968,116.0,4.2,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0
192,19.92,2.4,226.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,19.92,1.917,111.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,19.92,2.567,94.0,3.4,0.0,0.0,8.0,0.0,0.0,0.0,8.0,1.0
195,19.92,2.022,157.0,6.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
196,19.92,2.1,159.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
197,19.92,1.864,207.0,5.4,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
198,19.92,1.98,125.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
199,19.92,1.889,244.0,4.8,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0
200,19.92,1.613,148.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
201,19.92,1.771,162.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
202,19.92,1.799,146.0,4.2,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
